"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J2,J1,J5";"SMA_Molex_73251-1153_EdgeMount_Horizontal";3;"Conn_Coaxial";;;
2;"IC4";"DCW11722";1;"DCW-11-722+";;;
3;"L5,L3";"L_0402_1005Metric";2;"100n";;;
4;"R10,R20";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";2;"50";;;
5;"FB3,FB1,FB2";"BLM15PX_BH1";3;"BLM15PX121BH1D";;;
6;"TP4,TP7,TP1,TP6,TP3,TP2,TP5";"TestPoint_Pad_1.0x1.0mm";7;"TestPoint";;;
7;"C9,C7";"C_0402_1005Metric";2;"18p";;;
8;"H4,H3,H2,H1";"MountingHole_2.5mm_Pad";4;"MountingHole_Pad";;;
9;"R18,R14,R9,R6,R19";"R_0402_1005Metric";5;"0";;;
10;"C5,C1,C12";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";3;"100n";;;
11;"R15,R7,R13,R8,R5";"R_0402_1005Metric";5;"DNP";;;
12;"IC2";"SOT95P280X145-5N";1;"TS461CLT";;;
13;"R17,R12,R16";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";3;"0";;;
14;"C2";"C_0603_1608Metric";1;"10n";;;
15;"C21";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";1;"1.5n";;;
16;"FL1";"Filter_Mini-Circuits_FV1206";1;"LFCN-2750";;;
17;"C8,C13";"C_0402_1005Metric";2;"100p";;;
18;"R2,R4,R3";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";3;"10k";;;
19;"C4";"C_0805_2012Metric";1;"10u";;;
20;"C23,C16,C14,C19";"C_0402_1005Metric";4;"1n";;;
21;"C10";"C_0402_1005Metric";1;"0.5p";;;
22;"R21";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"681";;;
23;"C11,C22";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";2;"DNP";;;
24;"R11";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"1.5k";;;
25;"IC6";"SON50P200X200X80-9N";1;"TRF37A73IDSGR";;;
26;"L2,L1,L4";"L_0402_1005Metric";3;"DNP";;;
27;"IC7";"SOT65P215X100-6N";1;"PSA-5453+";;;
28;"C3";"C_0805_2012Metric";1;"4.7u";;;
29;"R1";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"100";;;
30;"C20,C18";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";2;"10p";;;
31;"IC3";"AZ1084CD50TRG1";1;"AZ1084CD-5.0TRG1";;;
32;"IC1";"QFN50P400X400X100-25N";1;"HMC385LP4";;;
33;"L6";"L_0402_1005Metric";1;"180n";;;
34;"C6";"C_0805_2012Metric";1;"22u";;;
35;"IC5";"SON50P150X150X50-7N-D";1;"GRF4002";;;
36;"U1";"MSOP-8_3x3mm_P0.65mm";1;"HMC213B";;;
37;"J4,J3";"PinHeader_1x05_P2.54mm_Vertical";2;"Conn_01x05";;;
38;"U2";"TCCH80";1;"TCCH-80+";;;
39;"C15";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"10u";;;
40;"C17";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"10n";;;
