"$e_r []","TraceW [mm]","Freq [GHz]","dB(St(Trace_T1,Trace_T1)) []","dB(St(Trace_T2,Trace_T2)) []"
4.2,0.15,2,-15.2933460259408,-14.9864315408136
4.2,0.15,2.0025,-15.2792393182591,-14.9737543382061
4.2,0.15,2.005,-15.2651536047298,-14.9610933365723
4.2,0.15,2.0075,-15.2510889968198,-14.9484486654774
4.2,0.15,2.01,-15.2370456068577,-14.9358204513786
4.2,0.15,2.0125,-15.2230235480281,-14.9232088178172
4.2,0.15,2.015,-15.2090229343641,-14.9106138856007
4.2,0.15,2.0175,-15.1950438807411,-14.8980357729761
4.2,0.15,2.02,-15.1810865028692,-14.8854745957944
4.2,0.15,2.0225,-15.1671509172862,-14.8729304676672
4.2,0.15,2.025,-15.1532372413499,-14.8604035001157
4.2,0.15,2.0275,-15.1393455932309,-14.8478938027121
4.2,0.15,2.03,-15.1254760919041,-14.8354014832142
4.2,0.15,2.0325,-15.1116288571415,-14.822926647694
4.2,0.15,2.035,-15.0978040095032,-14.8104694006593
4.2,0.15,2.0375,-15.0840016703299,-14.7980298451698
4.2,0.15,2.04,-15.0702219617335,-14.7856080829478
4.2,0.15,2.0425,-15.056465006589,-14.7732042144834
4.2,0.15,2.045,-15.0427309285253,-14.7608183391346
4.2,0.15,2.0475,-15.0290198519164,-14.7484505552226
4.2,0.15,2.05,-15.0153319018716,-14.7361009601233
4.2,0.15,2.0525,-15.0016672042267,-14.7237696503533
4.2,0.15,2.055,-14.988025885534,-14.711456721653
4.2,0.15,2.0575,-14.9744080730527,-14.699162269065
4.2,0.15,2.06,-14.9608138947388,-14.6868863870094
4.2,0.15,2.0625,-14.9472434792351,-14.6746291693552
4.2,0.15,2.065,-14.9336969558609,-14.6623907094886
4.2,0.15,2.0675,-14.9201744546014,-14.6501711003783
4.2,0.15,2.07,-14.9066761060973,-14.6379704346374
4.2,0.15,2.0725,-14.893202041634,-14.6257888045832
4.2,0.15,2.075,-14.8797523931303,-14.6136263022934
4.2,0.15,2.0775,-14.8663272931279,-14.6014830196605
4.2,0.15,2.08,-14.8529268747796,-14.5893590484432
4.2,0.15,2.0825,-14.8395512718383,-14.5772544803163
4.2,0.15,2.085,-14.8262006186451,-14.5651694069173
4.2,0.15,2.0875,-14.8128750501179,-14.5531039198922
4.2,0.15,2.09,-14.7995747017395,-14.5410581109381
4.2,0.15,2.0925,-14.7862997095455,-14.5290320718451
4.2,0.15,2.095,-14.7730502101123,-14.5170258945352
4.2,0.15,2.0975,-14.7598263405449,-14.5050396711009
4.2,0.15,2.1,-14.7466282384644,-14.4930734938408
4.2,0.15,2.1025,-14.7334560419957,-14.4811274552952
4.2,0.15,2.105,-14.7203098897548,-14.4692016482785
4.2,0.15,2.1075,-14.7071899208362,-14.457296165912
4.2,0.15,2.11,-14.6940962747997,-14.4454111016543
4.2,0.15,2.1125,-14.6810290916582,-14.4335465493307
4.2,0.15,2.115,-14.6679885118641,-14.4217026031619
4.2,0.15,2.1175,-14.6549746762965,-14.409879357791
4.2,0.15,2.12,-14.6419877262478,-14.3980769083097
4.2,0.15,2.1225,-14.6290278034107,-14.3862953502838
4.2,0.15,2.125,-14.6160950498647,-14.3745347797776
4.2,0.15,2.1275,-14.6031896080629,-14.3627952933771
4.2,0.15,2.13,-14.5903116208183,-14.3510769882129
4.2,0.15,2.1325,-14.5774612312907,-14.3393799619821
4.2,0.15,2.135,-14.5646385829726,-14.3277043129695
4.2,0.15,2.1375,-14.5518438196765,-14.3160501400682
4.2,0.15,2.14,-14.5390770855202,-14.3044175427992
4.2,0.15,2.1425,-14.5263385249144,-14.2928066213312
4.2,0.15,2.145,-14.5136282825481,-14.2812174764988
4.2,0.15,2.1475,-14.5009465033757,-14.2696502098212
4.2,0.15,2.15,-14.488293332603,-14.2581049235198
4.2,0.15,2.1525,-14.4756689156737,-14.2465817205353
4.2,0.15,2.155,-14.4630733982562,-14.235080704545
