"$e_r []","TraceW [mm]","Freq [GHz]","re(Zin) []","im(Zin) []"
4.2,0.15,2,42.0965059819982,-13.927181922279
4.2,0.15,2.0025,42.0674469992557,-13.9351497485285
4.2,0.15,2.005,42.0383466433968,-13.9430374163889
4.2,0.15,2.0075,42.0092052572373,-13.9508445249915
4.2,0.15,2.01,41.9800231885834,-13.9585706745552
4.2,0.15,2.0125,41.9508007902491,-13.9662154664471
4.2,0.15,2.015,41.9215384200723,-13.9737785032422
4.2,0.15,2.0175,41.8922364409308,-13.9812593887849
4.2,0.15,2.02,41.8628952207575,-13.98865772825
4.2,0.15,2.0225,41.8335151325541,-13.9959731282054
4.2,0.15,2.025,41.8040965544055,-14.0032051966738
4.2,0.15,2.0275,41.7746398694918,-14.0103535431966
4.2,0.15,2.03,41.7451454661006,-14.0174177788969
4.2,0.15,2.0325,41.7156137376384,-14.024397516544
4.2,0.15,2.035,41.6860450826408,-14.0312923706177
4.2,0.15,2.0375,41.6564399047821,-14.0381019573734
4.2,0.15,2.04,41.6267986128838,-14.0448258949076
4.2,0.15,2.0425,41.5971216209233,-14.051463803224
4.2,0.15,2.045,41.5674093480402,-14.0580153042993
4.2,0.15,2.0475,41.5376622185426,-14.0644800221508
4.2,0.15,2.05,41.5078806619128,-14.0708575829028
4.2,0.15,2.0525,41.4780651128114,-14.0771476148547
4.2,0.15,2.055,41.4482160110809,-14.0833497485484
4.2,0.15,2.0575,41.4183338017481,-14.0894636168373
4.2,0.15,2.06,41.3884189350263,-14.095488854954
4.2,0.15,2.0625,41.3584718663154,-14.10142510058
4.2,0.15,2.065,41.3284930562022,-14.1072719939146
4.2,0.15,2.0675,41.2984829704587,-14.1130291777443
4.2,0.15,2.07,41.2684420800406,-14.1186962975128
4.2,0.15,2.0725,41.2383708610836,-14.1242730013908
4.2,0.15,2.075,41.2082697948997,-14.1297589403465
4.2,0.15,2.0775,41.1781393679718,-14.1351537682156
4.2,0.15,2.08,41.1479800719478,-14.1404571417725
4.2,0.15,2.0825,41.1177924036334,-14.1456687208006
4.2,0.15,2.085,41.0875768649839,-14.1507881681635
4.2,0.15,2.0875,41.0573339630953,-14.155815149876
4.2,0.15,2.09,41.0270642101937,-14.1607493351752
4.2,0.15,2.0925,40.9967681236244,-14.1655903965917
4.2,0.15,2.095,40.9664462258394,-14.1703380100211
4.2,0.15,2.0975,40.9360990443843,-14.1749918547948
4.2,0.15,2.1,40.9057271118836,-14.179551613752
4.2,0.15,2.1025,40.8753309660256,-14.1840169733104
4.2,0.15,2.105,40.8449111495457,-14.1883876235377
4.2,0.15,2.1075,40.8144682102088,-14.192663258223
4.2,0.15,2.11,40.7840027007907,-14.1968435749474
